source_model,dataset,prompt_type,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,cifar10,axioms_ontology_v2,67,3.5522,0.1415,4.4925,0.1300,4.4030,0.1549,2.5522,0.1316,4.8806,0.0621,4.0597,0.1632,4.0896,0.1711,4.8060,0.0713,4.4478,0.1366,4.1426,0.0996
google/gemini-2.5-flash,cifar10,features,64,4.2031,0.1025,4.9062,0.0533,4.9375,0.0625,5.0000,0.0000,4.9062,0.0484,3.9219,0.1185,3.9844,0.1327,4.9375,0.0305,4.7344,0.1026,4.6146,0.0502
google/gemini-2.5-flash,cifar10,nle,72,3.5833,0.0984,4.7500,0.0879,4.9861,0.0139,5.0000,0.0000,4.9306,0.0302,4.2083,0.1218,4.6528,0.0931,4.9861,0.0139,4.9306,0.0456,4.6698,0.0397
google/gemini-2.5-flash,cifar10,rulebased,70,4.7571,0.0746,4.9714,0.0201,5.0000,0.0000,5.0000,0.0000,4.9857,0.0143,4.8571,0.0468,4.8857,0.0479,4.9571,0.0318,4.9714,0.0201,4.9318,0.0160
google/gemini-2.5-flash,dtd,axioms_ontology_v2,63,3.3810,0.1638,4.1429,0.1721,4.1905,0.1891,2.9841,0.1404,4.6190,0.1206,4.1746,0.1625,4.2857,0.1575,4.5556,0.1103,4.2857,0.1654,4.0688,0.1215
google/gemini-2.5-flash,dtd,features,71,4.4366,0.0935,4.9296,0.0306,5.0000,0.0000,5.0000,0.0000,4.9155,0.0388,4.5070,0.1000,4.4225,0.1279,4.9155,0.0332,4.8028,0.0767,4.7700,0.0423
google/gemini-2.5-flash,dtd,nle,70,4.2000,0.0829,4.9286,0.0469,4.9857,0.0143,5.0000,0.0000,5.0000,0.0000,4.9429,0.0346,4.8857,0.0629,5.0000,0.0000,5.0000,0.0000,4.8825,0.0182
google/gemini-2.5-flash,dtd,rulebased,70,4.8571,0.0586,4.9571,0.0429,5.0000,0.0000,5.0000,0.0000,4.9429,0.0279,4.9857,0.0143,4.7000,0.0962,4.8429,0.0632,4.7857,0.0836,4.8968,0.0299
google/gemini-2.5-flash,flowers,axioms_ontology_v2,66,4.1970,0.1126,4.8182,0.0776,4.7121,0.1217,3.1667,0.1520,4.9697,0.0213,4.8636,0.0567,4.8030,0.0656,4.9242,0.0448,4.9394,0.0425,4.5993,0.0447
google/gemini-2.5-flash,flowers,features,70,4.1857,0.1063,4.7857,0.0640,4.7429,0.0856,4.9429,0.0279,4.8429,0.0562,4.5286,0.0781,4.5714,0.0828,4.7429,0.0633,4.9429,0.0450,4.6984,0.0514
google/gemini-2.5-flash,flowers,nle,70,3.9857,0.1007,4.9429,0.0450,4.8429,0.0664,4.9286,0.0310,4.9429,0.0279,4.8429,0.0598,4.9429,0.0401,5.0000,0.0000,5.0000,0.0000,4.8254,0.0239
google/gemini-2.5-flash,flowers,rulebased,67,4.8806,0.0543,4.9701,0.0209,4.9701,0.0299,4.9851,0.0149,5.0000,0.0000,4.9851,0.0149,4.9701,0.0209,4.9851,0.0149,4.9851,0.0149,4.9702,0.0107
google/gemini-2.5-flash,pets,axioms_ontology_v2,64,4.2656,0.1413,4.7344,0.1050,4.4844,0.1637,3.1094,0.1529,4.9219,0.0405,4.5625,0.1217,4.5781,0.1333,4.8594,0.0584,4.7031,0.1037,4.4688,0.0848
google/gemini-2.5-flash,pets,features,69,4.1739,0.1238,4.7391,0.0674,5.0000,0.0000,5.0000,0.0000,4.9275,0.0376,4.4493,0.0958,4.3913,0.1057,4.9855,0.0145,4.9420,0.0351,4.7343,0.0381
google/gemini-2.5-flash,pets,nle,70,3.8714,0.1220,4.7286,0.0759,5.0000,0.0000,5.0000,0.0000,4.9857,0.0143,4.6429,0.0762,4.8429,0.0524,5.0000,0.0000,4.9857,0.0143,4.7841,0.0289
google/gemini-2.5-flash,pets,rulebased,68,4.7941,0.0681,4.9559,0.0251,5.0000,0.0000,5.0000,0.0000,5.0000,0.0000,4.9706,0.0206,4.9412,0.0287,4.9412,0.0356,4.9706,0.0294,4.9526,0.0142
google/gemma-4-26b-a4b-it,cifar10,axioms_ontology_v2,70,3.0000,0.1238,4.6429,0.1152,4.6143,0.1369,2.7286,0.1236,4.7571,0.0985,3.7857,0.1737,4.1857,0.1632,4.7143,0.1080,4.7429,0.0856,4.1302,0.0804
google/gemma-4-26b-a4b-it,cifar10,features,70,3.9143,0.1110,4.8857,0.0559,4.9143,0.0602,5.0000,0.0000,4.9857,0.0143,4.0000,0.1319,3.9714,0.1395,5.0000,0.0000,4.6571,0.1185,4.5921,0.0549
google/gemma-4-26b-a4b-it,cifar10,nle,69,3.2754,0.1070,4.6957,0.0975,4.8551,0.0858,4.9855,0.0145,4.8551,0.0474,3.4493,0.1331,3.9130,0.1471,4.9130,0.0342,4.9275,0.0376,4.4300,0.0523
google/gemma-4-26b-a4b-it,cifar10,rulebased,68,4.3235,0.0900,4.9118,0.0619,4.8529,0.0845,5.0000,0.0000,4.9706,0.0206,4.5588,0.0898,4.6618,0.1101,4.9265,0.0382,4.9118,0.0405,4.7909,0.0412
google/gemma-4-26b-a4b-it,dtd,axioms_ontology_v2,60,3.5000,0.1355,4.3500,0.1481,4.6000,0.1410,3.0500,0.1511,4.8000,0.1003,4.1333,0.1585,3.9667,0.1916,4.5667,0.1266,4.4333,0.1433,4.1556,0.1092
google/gemma-4-26b-a4b-it,dtd,features,69,4.2319,0.1152,4.7681,0.0830,4.8696,0.0770,5.0000,0.0000,4.9275,0.0376,4.4348,0.1082,3.9420,0.1611,4.9855,0.0145,4.8406,0.0673,4.6667,0.0556
google/gemma-4-26b-a4b-it,dtd,nle,70,3.8143,0.1120,4.7286,0.0837,4.8286,0.0813,4.8286,0.0674,4.4429,0.1281,4.5000,0.0992,4.4857,0.1267,4.9143,0.0528,4.7857,0.0758,4.5921,0.0675
google/gemma-4-26b-a4b-it,dtd,rulebased,65,4.6769,0.0697,4.9385,0.0372,4.9846,0.0154,4.8154,0.0616,4.5692,0.1180,4.9077,0.0477,4.5692,0.1220,4.6154,0.0922,4.6000,0.1092,4.7419,0.0560
google/gemma-4-26b-a4b-it,flowers,axioms_ontology_v2,61,3.9508,0.1082,4.9016,0.0558,4.8689,0.0720,2.9508,0.1310,4.9836,0.0164,4.9016,0.0450,4.8689,0.0595,4.9672,0.0230,4.9180,0.0538,4.5902,0.0362
google/gemma-4-26b-a4b-it,flowers,features,67,4.0746,0.1005,4.9552,0.0255,4.8358,0.0724,5.0000,0.0000,4.9851,0.0149,4.4328,0.1089,4.0299,0.1328,4.9851,0.0149,4.9552,0.0255,4.6949,0.0382
google/gemma-4-26b-a4b-it,flowers,nle,66,3.5758,0.1184,4.8788,0.0551,4.7879,0.0823,4.9545,0.0337,4.8636,0.0606,4.5303,0.0896,4.6970,0.0940,4.9545,0.0337,4.9394,0.0366,4.6869,0.0439
google/gemma-4-26b-a4b-it,flowers,rulebased,66,4.2273,0.1236,4.9394,0.0296,4.8485,0.0786,5.0000,0.0000,5.0000,0.0000,4.9242,0.0328,4.9091,0.0417,4.9848,0.0152,5.0000,0.0000,4.8704,0.0258
google/gemma-4-26b-a4b-it,pets,axioms_ontology_v2,69,3.1159,0.1282,4.7681,0.0855,4.8551,0.0858,2.6957,0.1374,4.9420,0.0351,4.0870,0.1499,4.1594,0.1581,4.7971,0.0703,4.7536,0.0784,4.2416,0.0659
google/gemma-4-26b-a4b-it,pets,features,68,4.0441,0.1282,4.9412,0.0287,4.9559,0.0327,5.0000,0.0000,4.9706,0.0206,4.4559,0.1036,4.0735,0.1544,4.9853,0.0147,4.8824,0.0680,4.7010,0.0437
google/gemma-4-26b-a4b-it,pets,nle,69,3.3333,0.1317,4.8116,0.0807,4.9420,0.0580,4.9855,0.0145,4.8406,0.0606,4.0725,0.1359,4.2899,0.1340,4.9420,0.0351,4.8261,0.0651,4.5604,0.0536
google/gemma-4-26b-a4b-it,pets,rulebased,66,4.2424,0.1349,5.0000,0.0000,5.0000,0.0000,5.0000,0.0000,4.9848,0.0152,4.8333,0.0702,4.8939,0.0535,5.0000,0.0000,4.9848,0.0152,4.8822,0.0235
meta-llama/llama-4-scout,cifar10,axioms_ontology_v2,62,2.2742,0.1383,3.8226,0.2064,3.4032,0.2428,2.2258,0.1182,4.4516,0.1467,2.3871,0.2049,2.5806,0.2188,4.5484,0.1253,4.2903,0.1727,3.3315,0.1345
meta-llama/llama-4-scout,cifar10,features,64,3.5469,0.1372,4.7188,0.1008,4.6562,0.1377,5.0000,0.0000,4.7500,0.0704,3.6875,0.1635,3.3594,0.1895,4.8906,0.0393,4.4219,0.1540,4.3368,0.0795
meta-llama/llama-4-scout,cifar10,nle,67,3.2239,0.1325,4.2687,0.1527,4.6119,0.1410,4.8955,0.0527,4.5373,0.1027,3.3731,0.1486,3.3284,0.1822,4.9254,0.0387,4.7015,0.0824,4.2073,0.0852
meta-llama/llama-4-scout,cifar10,rulebased,69,3.4783,0.1454,4.3043,0.1507,4.4928,0.1364,4.9855,0.0145,4.9275,0.0314,3.9565,0.1551,3.4928,0.1955,4.6812,0.0813,4.6232,0.0948,4.3269,0.0819
meta-llama/llama-4-scout,dtd,axioms_ontology_v2,61,3.0164,0.1594,4.1803,0.1742,3.8852,0.2268,3.0492,0.1505,4.6393,0.1344,3.5574,0.2136,3.6066,0.2306,4.5902,0.1351,4.4590,0.1578,3.8871,0.1423
meta-llama/llama-4-scout,dtd,features,68,3.7206,0.1323,4.8235,0.0693,4.9118,0.0654,5.0000,0.0000,4.7353,0.0650,4.0000,0.1325,3.4118,0.1805,4.8676,0.0692,4.6029,0.1169,4.4526,0.0649
meta-llama/llama-4-scout,dtd,nle,69,3.6667,0.1198,4.2754,0.1557,4.6522,0.1367,4.8986,0.0468,4.5797,0.0955,4.1304,0.1321,3.9275,0.1862,4.8986,0.0468,4.5942,0.0975,4.4026,0.0868
meta-llama/llama-4-scout,dtd,rulebased,64,3.7344,0.1481,4.7500,0.0891,4.9531,0.0266,4.9688,0.0219,5.0000,0.0000,4.2969,0.1129,3.6562,0.2032,4.7812,0.0648,4.6562,0.0951,4.5330,0.0621
meta-llama/llama-4-scout,flowers,axioms_ontology_v2,65,2.6769,0.1568,4.4000,0.1608,3.8000,0.2260,2.4615,0.1671,4.6615,0.1284,3.6462,0.2097,3.6000,0.2135,4.6923,0.1050,4.6462,0.1015,3.8427,0.1245
meta-llama/llama-4-scout,flowers,features,67,3.4179,0.1206,4.7164,0.0699,4.7313,0.1011,5.0000,0.0000,4.8060,0.0572,3.5672,0.1244,3.2239,0.1424,4.9403,0.0292,4.8209,0.0635,4.3582,0.0537
meta-llama/llama-4-scout,flowers,nle,70,3.6857,0.1068,4.6286,0.0867,4.5857,0.1326,5.0000,0.0000,4.8286,0.0537,4.3143,0.1125,4.2000,0.1447,4.9571,0.0244,4.9286,0.0310,4.5698,0.0544
meta-llama/llama-4-scout,flowers,rulebased,64,3.1875,0.1475,4.3906,0.1252,4.1094,0.1838,4.9844,0.0156,4.9688,0.0219,4.0938,0.1173,3.7812,0.1718,4.6562,0.0840,4.6094,0.0935,4.3090,0.0741
meta-llama/llama-4-scout,pets,axioms_ontology_v2,56,2.1964,0.1755,3.6607,0.2448,2.9286,0.2695,2.1607,0.1524,4.1607,0.2082,2.6250,0.2357,2.4643,0.2390,4.1964,0.1880,4.3214,0.1552,3.1905,0.1628
meta-llama/llama-4-scout,pets,features,68,3.7794,0.1201,4.8529,0.0481,5.0000,0.0000,5.0000,0.0000,4.9412,0.0287,4.0294,0.1166,3.3382,0.1505,4.9853,0.0147,4.9265,0.0382,4.5392,0.0409
meta-llama/llama-4-scout,pets,nle,70,3.3857,0.1120,4.8286,0.0674,4.9429,0.0571,4.9286,0.0469,4.6857,0.0876,4.0429,0.1416,3.6571,0.1701,5.0000,0.0000,4.7857,0.0785,4.4730,0.0619
meta-llama/llama-4-scout,pets,rulebased,63,3.6032,0.1560,4.6667,0.1197,4.7302,0.1180,5.0000,0.0000,4.9841,0.0159,4.5238,0.1128,4.0635,0.1516,4.7302,0.0757,4.8095,0.0779,4.5679,0.0660
qwen/qwen3-vl-8b-instruct,cifar10,axioms_ontology_v2,56,1.2143,0.0553,2.2143,0.2081,1.1429,0.1001,1.5179,0.1081,3.5714,0.2099,1.0179,0.0179,1.1429,0.0536,4.0536,0.1640,4.2321,0.1348,2.2341,0.0692
qwen/qwen3-vl-8b-instruct,cifar10,features,69,4.0870,0.1047,4.9855,0.0145,4.8696,0.0682,4.9855,0.0145,4.9710,0.0203,4.0290,0.1338,3.8551,0.1616,4.9710,0.0203,4.8116,0.0723,4.6184,0.0474
qwen/qwen3-vl-8b-instruct,cifar10,nle,67,3.7164,0.1141,4.4925,0.1334,4.8657,0.0848,5.0000,0.0000,4.6716,0.0749,4.2687,0.1117,4.1940,0.1552,4.8657,0.0558,4.7910,0.0584,4.5406,0.0602
qwen/qwen3-vl-8b-instruct,cifar10,rulebased,68,4.3088,0.1262,4.7647,0.1029,4.8824,0.0826,5.0000,0.0000,5.0000,0.0000,4.4412,0.1192,4.3382,0.1476,4.8824,0.0612,4.8824,0.0575,4.7222,0.0575
qwen/qwen3-vl-8b-instruct,dtd,axioms_ontology_v2,55,1.2909,0.1180,2.7455,0.2492,1.2182,0.1236,1.5273,0.1319,3.7455,0.1997,1.2182,0.1236,1.4182,0.1438,3.7273,0.1897,3.8000,0.1690,2.2990,0.1080
qwen/qwen3-vl-8b-instruct,dtd,features,67,4.3582,0.1013,4.9552,0.0255,4.9701,0.0299,5.0000,0.0000,4.8507,0.0611,4.4179,0.1108,3.6716,0.1797,4.9851,0.0149,4.8060,0.0908,4.6683,0.0478
qwen/qwen3-vl-8b-instruct,dtd,nle,67,4.0448,0.1051,4.5821,0.1224,4.9851,0.0149,5.0000,0.0000,4.8507,0.0532,4.6119,0.0849,4.3134,0.1594,4.9403,0.0361,4.7910,0.0753,4.6799,0.0583
qwen/qwen3-vl-8b-instruct,dtd,rulebased,67,4.7313,0.0658,4.9552,0.0448,5.0000,0.0000,5.0000,0.0000,5.0000,0.0000,4.9552,0.0332,4.5821,0.1296,4.9104,0.0463,5.0000,0.0000,4.9038,0.0210
qwen/qwen3-vl-8b-instruct,flowers,axioms_ontology_v2,57,1.0175,0.0175,2.5439,0.2529,1.0000,0.0000,1.2807,0.0651,2.9649,0.2321,1.0000,0.0000,1.0351,0.0246,3.0877,0.1927,3.5088,0.1754,1.9376,0.0711
qwen/qwen3-vl-8b-instruct,flowers,features,65,4.0462,0.1084,4.8154,0.0654,4.7385,0.0987,5.0000,0.0000,5.0000,0.0000,4.2308,0.1113,4.1231,0.1191,4.9846,0.0154,4.8769,0.0559,4.6462,0.0490
qwen/qwen3-vl-8b-instruct,flowers,nle,66,4.1667,0.0905,4.8333,0.0668,4.8333,0.0796,4.9697,0.0213,4.9697,0.0303,4.8030,0.0723,4.8788,0.0630,4.9848,0.0152,4.9848,0.0152,4.8249,0.0325
qwen/qwen3-vl-8b-instruct,flowers,rulebased,70,4.2429,0.1177,4.8000,0.0693,4.6571,0.1075,5.0000,0.0000,5.0000,0.0000,4.7857,0.0672,4.7714,0.0843,4.9286,0.0512,4.9857,0.0143,4.7968,0.0374
qwen/qwen3-vl-8b-instruct,pets,axioms_ontology_v2,53,1.0755,0.0455,2.0755,0.2346,1.1509,0.1057,1.4340,0.0914,3.0943,0.2458,1.0755,0.0529,1.0377,0.0264,3.0566,0.1603,3.1698,0.1655,1.9077,0.0846
qwen/qwen3-vl-8b-instruct,pets,features,68,3.6912,0.1262,4.8971,0.0371,5.0000,0.0000,5.0000,0.0000,4.9118,0.0456,4.0882,0.1252,3.5735,0.1395,5.0000,0.0000,4.7794,0.0933,4.5490,0.0453
qwen/qwen3-vl-8b-instruct,pets,nle,69,3.6812,0.1159,4.5797,0.1175,4.9420,0.0580,5.0000,0.0000,4.8986,0.0420,4.4928,0.0938,4.3623,0.1221,4.9420,0.0283,4.8696,0.0581,4.6409,0.0538
qwen/qwen3-vl-8b-instruct,pets,rulebased,64,3.7969,0.1497,4.7812,0.0786,5.0000,0.0000,5.0000,0.0000,5.0000,0.0000,4.5781,0.1087,4.2500,0.1477,4.9062,0.0577,4.9062,0.0658,4.6910,0.0450
